city,year,page,line_no,organization_name,category,sub_category,line,address,description
Birmingham,1899,10,1,Washington Public Library,Libraries,,"Washington Public Library, 5th ave. cor N. 14th; Miss Orlean D. Kennedy (c), librarian; open Thursdays and Sundays 2 to 6 p. m.",,
Birmingham,1899,10,2,Alabama National Guard,Patriotic Organizations,,"Alabama National Guard; Brigadier General, Louis V. Clark; 2nd Regiment Headquarters Tuscaloosa; H. B. Foster, Colonel.",,
Birmingham,1899,10,3,Birmingham Rifles,Patriotic Organizations,,Birmingham Rifles; Armory 1912) 1st ave (third floor). To be reorganized.,,
Birmingham,1899,10,4,Huey Guards,Patriotic Organizations,,Huey Guards; Armory East Lake. To be reorganized.,,
Birmingham,1899,10,5,Jefferson Volunteers,Patriotic Organizations,,Jefferson Volunteers; Armory 1912) 1st ave. (third floor). To be reorganized.,,
Birmingham,1899,10,6,Troop D,Patriotic Organizations,,"Troop D, 1st Squadron, A. N. G. organized 1896; Armory 2019 3rd ave; Captain, J. B. Morson; 1st Lieutenant, L. P. Fleming; 2nd Lieutenant, E. J. MeCrossin.",,
Birmingham,1899,10,7,Woodlawn Light Infantry,Patriotic Organizations,,"Woodlawn Light Infantry; Armory Burris Hall, Woodlawn. To be reorganized.",,
Birmingham,1899,10,9,Alabama Christian Advocate,Uncategorized,,"Alabama Christian Advocate; weekly; 2107 3rd ave.; Rev. S. P. West, business manager; Rev. J. O. An drews, D. D., editor; Leslie Bros, publishers.",,
Birmingham,1899,10,10,Alabama Medical & Surgical Age,Uncategorized,,"Alabama Medical & Surgical Age; established 1888; 109 N. 20th; Dr. L. C. LeGrand, managing editor and proprietor.",,
Birmingham,1899,10,11,The City Paper Co.,Uncategorized,,"Birmingham Courier (The); weekly; 1803 2nd ave; The City Paper Co., proprietors.",,
Birmingham,1899,10,12,The Daily News Co.,Uncategorized,,"Birmingham News (The); 213 N. 21st; issued every afternoon except Sunday; The Daily News Co., publish- ers and proprietors.",,
Birmingham,1899,10,13,Birmingham Presbyterian,Uncategorized,,"Birmingham Presbyterian; Rev. A. B. Curry, editor; 2108 4th ave.",,
Birmingham,1899,10,14,Birmingham Times,Uncategorized,,"Birmingham Times (The); weekly; 1729-31 2nd ave.; L. F. Scofield, editor and proprietor.",,
Birmingham,1899,10,15,Daily Ledger,Uncategorized,,"Daily Ledger (The), 1801 2nd ave.; W. H. Jeffries, president; J. A. Sparrow, secretary; C. H. Greer, busi- ness manager.",,
Birmingham,1899,10,16,Dixie Home & Manufacturer,Uncategorized,,Dixie Home & Manufacturer (The); weekly; pub- lished by The Home Publishing Co.,,
Birmingham,1899,10,1,Howard Collegian,Miscellaneous,,Howard Collegian; pubished monthly by the students of Howard College.,,
Birmingham,1899,10,2,Humming Bird,Uncategorized,,Humming Bird (The); weekly; Gate City.,,
Birmingham,1899,10,3,Ensley Enterprise,Uncategorized,,"Ensley Enterprise; weekly; Ensley City; L. P. Hill, editor and proprietor.",,
Birmingham,1899,10,5,Jewish Sentiment,Uncategorized,,Jewish Sentiment; issued weekly; 2002 2nd ave.,,
Birmingham,1899,10,6,Labor Advocate,Uncategorized,,"Labor Advocate, 1124 X 20th; J. H. F. Moseley, gen- eral manager.",,
Birmingham,1899,10,7,New Era,Uncategorized,,"New Era (The); weekly; 2017 3rd ave.; Mrs. Geo. С. Ball, editor and proprietor; Miss Anna Phelan, bus, mgr.",,
Birmingham,1899,10,8,Southwestern Presbyterian,Uncategorized,,"Southwestern Presbyterian (The); 221 N. 21st; Rev. J. G. Snedecor, business manager.",,
Birmingham,1899,10,9,Southern Sentinel,Uncategorized,,"Southern Sentinel (e), 18111 3rd ave; R. L. Ruffin, president; W. D. Davis, seeretary.",,
Birmingham,1899,10,10,Sunday Morning Star,Uncategorized,,"Sunday Morning Star; weekly; Wilson Building; Len Button, editor and proprietor.",,
Birmingham,1899,10,11,Wide-Awake,Uncategorized,,"Wide-Awake (e), 1811 3rd ave; L. H. Harrison, pro- prietor.",,
Birmingham,1899,10,12,Weekly Tribune,Uncategorized,,"Weekly Tribune (The); W. R. McKenzie, editor and proprietor.",,
Birmingham,1899,10,13,A. 0. U. W.,Benevolent and Fraternal,,A. 0. U. W.,,
