city,year,page,line_no,organization_name,category,sub_category,line,address,description
Mobile,1861,13001921,1,Board of Harbor Commissioners,Civic Organizations,,Board of Harbor Commissioners.,,
Mobile,1861,13001921,5,Commissioners of Pilotage,Civic Organizations,,Commissioners of Pilotage.,,
Mobile,1861,13001921,9,Port Wardens,Civic Organizations,,Port Wardens.,,
Mobile,1861,13001921,13,Mobile Bay Pilots and Pilot Boats,Miscellaneous,,Mobile Bay Pilots and Pilot Boats.,,
Mobile,1861,13001921,68,Mobile Insurance Companies,Miscellaneous,,Mobile Insurance Companies.,,
Mobile,1861,13001921,69,ALABAMA LIFE INSURANCE AND TRUST COM-,Uncategorized,,ALABAMA LIFE INSURANCE AND TRUST COM-,,
Mobile,1861,13001921,70,PANY,Uncategorized,,"PANY-Office, No. 42 St. Francis st. Capital,",,
Mobile,1861,13001921,73,ALA. MUTUAL INS. CO. OF MOBILE,Uncategorized,,"ALA. MUTUAL INS. CO. OF MOBILE-Office,",,
Mobile,1861,13001921,77,CITY INSURANCE COMP'Y,Uncategorized,,"CITY INSURANCE COMP'Y-Office, No. 22 St.",,
Mobile,1861,13001921,80,FIREMEN'S INSURANCE COMPANY OF MOBILE,Uncategorized,,FIREMEN'S INSURANCE COMPANY OF MOBILE-,,
Mobile,1861,13001921,84,FULTON INSURANCE COMPANY OF MOBILE,Uncategorized,,FULTON INSURANCE COMPANY OF MOBILE-,,
Mobile,1861,13001921,88,MERCHANTS' INSURANCE COMP'Y OF THE CITY,Uncategorized,,MERCHANTS' INSURANCE COMP'Y OF THE CITY,,
Mobile,1861,13001921,89,OF MOBILE,Uncategorized,,"OF MOBILE-Office, No. 34 St. Francis street.",,
Mobile,1861,13001921,92,MOBILE INSURANCE COMPANY,Uncategorized,,"MOBILE INSURANCE COMPANY-Office, No. 40",,
Mobile,1861,13001921,95,MOBILE NAVIGATION AND MUTUAL INSURANCE,Uncategorized,,MOBILE NAVIGATION AND MUTUAL INSURANCE,,
Mobile,1861,13001921,96,COMPANY,Uncategorized,,"COMPANY-Office, No. 26 St. Michael street.",,
Mobile,1861,13001921,99,SOUTHERN INSURANCE COMPANY,Uncategorized,,"SOUTHERN INSURANCE COMPANY-Office, No.",,
Mobile,1861,13001921,102,Banking Institutions,Uncategorized,,Banking Institutions.,,
Mobile,1861,13001921,103,BANK OF MOBILE,Uncategorized,,BANK OF MOBILE-Northwest corner Conti,,
Mobile,1861,13001921,108,SOUTHERN BANK OF ALABAMA,Uncategorized,,SOUTHERN BANK OF ALABAMA-Southeast,,
