city,year,page,line_no,organization_name,category,sub_category,line,address,description
Little Rock,1871,13077467,1,LITTLE ROCK FIRE DEPARTMENT,Civic Organizations,,OFFICERS OF THE LITTLE ROCK FIRE DEPARTMENT.,,
Little Rock,1871,13077467,15,DEFIANCE,Uncategorized,,DEFIANCE.,,
Little Rock,1871,13077467,21,"TORRENT, NO. 4",Uncategorized,,"TORRENT, NO. 4.",,
Little Rock,1871,13077467,28,"PULASKI, NO. 2",Uncategorized,,"PULASKI, NO. 2.",,
Little Rock,1871,13077467,1,WESTERN STAR LODGE,Secret Societies,,"WESTERN STAR LODGE, No. 2, meets in regular communication the first Monday in each month at its Lodge Room, in the Ditter Building, corner Southwest Markham and Rock streets. E. H. ENGLISH, W. M. A. J. THOMPSON, Secretary.",,
Little Rock,1871,13077467,2,MAGNOLIA LODGE,Secret Societies,,"MAGNOLIA LODGE, No. 60, meets in regular communication the last Monday in each month, at its Lodge Room, in the Ditter Building, corner of Rock and Markham streets. A. M. MOORE, W. M. B. S. JOHNSON, Secretary.",,
Little Rock,1871,13077467,3,UNION CHAPTER,Secret Societies,,"UNION CHAPTER, No. 2, meets the second Monday of each month. S. W. WILLIAMS, H. P. G. MCGOWAN, K. S. L. GRIFFITH, S. J. H. HANEY, Secretary.",,
Little Rock,1871,13077467,4,OCCIDENTAL COUNCIL,Secret Societies,,"OCCIDENTAL COUNCIL, No. 1, meets the first Tuesday in January, April, July and October. THOS. PARCELL, TH. ILL. G. M. G. AUERBACH, Recorder.",,
Little Rock,1871,13077467,5,HUGH DE PAYENS' COMMANDERY,Secret Societies,,"HUGH DE PAYENS' COMMANDERY, K. T., meets the third Monday of each month. JOHN W. RISON, E. C. A. M. MOORE, Recorder.",,
Little Rock,1871,13077467,6,ARKANSAS ENCAMPMENT,Secret Societies,,"ARKANSAS ENCAMPMENT, No. 2, meets at the Odd-Fellows Hall, corner of Markham and Scott streets, the first and third Wednesdays in each month. F. A. SARASIN, Scribe. PETER BRUGMAN, C. P. ALBERT COHEN, H. P.",,
Little Rock,1871,13077467,7,FAR WEST LODGE,Secret Societies,,"FAR WEST LODGE, No. 1, meets at their Hall, corner of Markham and Scott streets, every Friday evening at 8 o'clock. N. H. BURNS, N. G. F. A. SARASIN, Secretary.",,
Little Rock,1871,13077467,8,PIKE LODGE,Secret Societies,,"PIKE LODGE, No. 12, meets at their Hall, corner of Markham and Scott streets, every Tuesday evening at 8 o'clock. D. J. MYTINGER, Secretary. H. H. ROTTAKEN, N. G.",,
Little Rock,1871,13077468,1,CHURCH DIRECTORY,Uncategorized,,CHURCH DIRECTORY.,,
Little Rock,1871,13077468,2,CHRIST CHURCH,Churches,,"CHRIST CHURCH, (EPISCOPAL) - Right Rev. Bishop Pierce, Rector; Rev. R. B. Lee, Assistant. Services, 10 A. M., and 7 P. M.. Wednesdays and Fridays, 4 P. М.",,
Little Rock,1871,13077468,3,UNION BAPTIST,Churches,,"UNION BAPTIST-Rev. N. G. Collins, Pastor; 10) A. M. and 74 P. M.",,
Little Rock,1871,13077468,4,SOUTHERN BAPTIST,Churches,,"SOUTHERN BAPTIST-Rev. T. B. Espy, Pasior; 104 A. M. and 74 P. M.",,
Little Rock,1871,13077468,5,METHODIST E. CHURCH,Churches,,"METHODIST E. CHURCH-Rev. H. R. Miller, Pastor; 10 л. м. and 74 г. м. Sunday School at 24 P. M.",,
Little Rock,1871,13077468,6,"METHODIST E. CHURCH, SOUTH",Churches,,"METHODIST E. CHURCH, SOUTH-Rev. Mr. Frazee, Pastor; 10 A. M. and 7 P. M.",,
Little Rock,1871,13077468,7,RATCLIFF CHAPEL,Churches,,"RATCLIFF CHAPEL-Rev. J. Loving, Pastor: preaching at 10 A. M. and at 7 P. М.",,
Little Rock,1871,13077468,8,PRESBYTERIAN CHURCH,Churches,,"PRESBYTERIAN CHURCH-Rev. T. R. Welch, Pastor; 101 A. M. and 7 P. M.",,
Little Rock,1871,13077468,9,CHRISTIAN CHURCH,Churches,,"CHRISTIAN CHURCH-Rev. J. L. T. Holland, Pastor; 10) Аям надп",,
Little Rock,1871,13077468,10,ST. ANDREW'S CHURCH,Churches,,ST. ANDREW'S CHURCH-Rev. Bishop Fitzgerald; Father O'Higgins officiating. Service at 104 A. M. and 7) P. M.,,
Little Rock,1871,13077468,11,GERMAN LUTHERAN,Churches,,"GERMAN LUTHERAN-Rev. Mr. Niemann, Pastor; 101 A. M. and 24 P. M.",,
Little Rock,1871,13077468,13,BETHEL A. M. E. CHURCH,Churches,,"BETHEL A. M. E. CHURCH-Rev. J. T. Jenifer, Pastor; 10) A. M., and 3 and 74 P. M.",,
Little Rock,1871,13077468,14,M. E. CHURCH,Churches,,"M. E. CHURCH-Rev. Tarleton Harden, Pastor; 10 A. M. and 8 P. M.",,
Little Rock,1871,13077468,15,BAPTIST CHURCH,Churches,,"BAPTIST CHURCH-Rev. Reuben White, Pastor; 104 л. м. and 8 г. м.",,
Little Rock,1871,13077468,16,A. M. E. CHURCH,Churches,,"A. M. E. CHURCH-John Payton, preacher. Second street, between Cumberland and Rock.",,
Little Rock,1871,13077469,1,MERCHANTILE LIBRARY ASSOCIATION,Libraries,,"MERCHANTILE LIBRARY ASSOCIATION. Wolf Building, 11 Main Street, up stairs. NW COL MAIN 93 A. W. BISHOP. R. J. T. WHITE. PRESIDENT. VICE-PRESIDENT: CHARLES E. WITHALL. RECORDING SECRETARY: J. S. POLLOCK. CORRESPONDING SECRETARY: D. E. JONES. TREASURER: ALBERT WATSON ACTUARY. Library open every day, from 4 to 6 P. M. TERMS OF MEMBERSHIP. --Initiation fee, $2; Quarterly dues, $1.",,
Little Rock,1872,14205478,1,LITTLE ROCK DIRECTORY,Uncategorized,,LITTLE ROCK DIRECTORY.,,
Little Rock,1872,14205478,2,Public School Directory,Uncategorized,,Public School Directory.,,
Little Rock,1872,14205478,4,BOARD OF DIRECTORS,Uncategorized,,BOARD OF DIRECTORS.,,
Little Rock,1872,14205478,12,SHERMAN SCHOOL,Youth Organizations,,"SHERMAN SCHOOL. (Seventh street, head of Sherman street.-J. C. Helm, Principal. Teachers: Miss Sophie R. Cozier, Miss A. Mandlebaum, Miss E. Emma Lotspeich, Miss M. E. Slattery.",,
Little Rock,1872,14205478,13,PEABODY SCHOOL,Youth Organizations,,"PEABODY SCHOOL. -(Gaines street, between Fourth and Fifth.)-F. B. Pullan, Principal. Teachers: Mrs. H. C. DeWolfe, Miss Eliza beth Walker, Miss E. W. Berry, Miss Hattie L. Stanard.",,
Little Rock,1872,14205478,14,FIRST WARD SCHOOL,Youth Organizations,,"FIRST WARD SCHOOL. (Second street, between Bird and McLean.)-Teachers: Miss R. Jennie Lee, Miss Fanny Wiley, Miss L. Stanard.",,
Little Rock,1872,14205478,15,UNION SCHOOL,Youth Organizations,,"UNION SCHOOL-Colored. - Sixth street, between Gaines and State.)-Mr. H. H. White, Principal. Teachers: Miss Lottie E. Andrews, Mrs. Alice C. Jenifer, Mrs. Mary V. White.",,
Little Rock,1872,14205478,16,ARSENAL SCHOOL,Youth Organizations,,"ARSENAL SCHOOL-Colored.—(Between Eighth and Ninth, near U. S. Arsenal.)-Teachers: Mr. T. J. Mulvany, Miss B. E. Miller.",,
Little Rock,1872,14205478,17,CAPITOL HILL SCHOOL,Youth Organizations,,"CAPITOL HILL SCHOOL-Colored. Wolfe street, between Tenth and Eleventh.)-Teachers: Mr. J. M. Fish, Miss M. W. Stuart. Teacher of Languages, Louis Cohen.",,
Little Rock,1872,14205478,18,ST. JOHN'S COLLEGE,Uncategorized,,ST. JOHN'S COLLEGE.-(Military School.),,
Little Rock,1872,14205478,1,FEMALE ACADEMY,Uncategorized,,"FEMALE ACADEMY, LITTLE ROCK, ARK. Under the charge of the Sisters of Mercy. Instituted in 1850, under the auspices of the late Right Rev. Andrew Byrne, D. D., located corner of Louisiana and Elizabeth streets. The scholastic year, which commences on the first Monday in September, is divided into two sessions of five months each.",,
Little Rock,1872,14205478,2,CHRIST CHURCH,Churches,,"CHRIST CHURCH, (EPISCOPAL). - Scott street, between 5th and 6th. Right Rev. Bishop Pierce, Rector; Rev. T. B. Lee, Assistant. Services 11 a. m. and 7 p.m. Wednesdays and Fridays, 4 p. m.",,
Little Rock,1872,14205478,3,UNION BAPTIST,Churches,,UNION BAPTIST.-West 3d street; no pastor. Services 10 a. m. and 7 p. m.,,
Little Rock,1872,14205478,4,SOUTHERN BAPTIST,Churches,,"SOUTHERN BAPTIST.-4th street, bet. Center and Spring; no pastor. Services 10 a. m. and 7 p. m.",,
Little Rock,1872,14205478,5,CENTENARY METHODIST EPISCOPAL CHURCH,Churches,,"CENTENARY METHODIST EPISCOPAL CHURCH.-New Building, Main street, bet. 4th and 5th; Rev. J. W. Bushong, Pastor. Services 10+ a. m. and 74 p..m.; Sunday-school 9 a. m. Prayer Meeting on Thursday evening. Pastor's Study in the Church.",,
Little Rock,1872,14205478,6,"METHODIST EPISCOPAL CHURCH, SOUTH",Churches,,"METHODIST EPISCOPAL CHURCH, SOUTH.-2d street, bet. Main and Louisiana; Rev. W. C. Hearne, Pastor. Services 10 a. m. and 7 p. m.",,
Little Rock,1872,14205478,7,RATCLIFF CHAPEL,Churches,,"RATCLIFF CHAPEL, (Methodist Protestant Church). Cor. Louisiana and 10th Streets; Rev. A. Jackson, Pastor. Services 10 a. m. and 7 p. m.",,
Little Rock,1872,14205478,8,PRESBYTERIAN CHURCH,Churches,,"PRESBYTERIAN CHURCH. Cor. Scott and 5th; Rev. T. R. Welch, Pastor. Services 10 a. m. and 7 p. m.",,
Little Rock,1872,14205478,9,CHRISTIAN CHURCH,Churches,,"CHRISTIAN CHURCH. -Scott, bet. 2d and 3d; Rev. J. L. T. Holland, Pastor. Services 10 a. m. and 7½ p. m. Wednesdays, 7 p. m.",,
Little Rock,1872,14205478,10,GERMAN LUTHERAN,Churches,,"GERMAN LUTHERAN.--Cor. 8th and Rock streets; Rev. Mr. Niemann, Pastor. Services 10 a. m. and 2 p. m.",,
Little Rock,1872,14205478,11,"SPRING STREET M. E. CHURCH, SOUTH",Churches,,"SPRING STREET M. E. CHURCH, SOUTH.-Rev. J. Loring, Pastor. Services 10 a. m. and 7 p. m.",,
Little Rock,1872,14205478,12,HEBREW SYNAGOGUE,Churches,,"HEBREW SYNAGOGUE.-Center, bet. 3d and 4th; not finished.",,
Little Rock,1872,14205478,13,ST. ANDREWS' CHURCH,Churches,,"ST. ANDREWS' CHURCH, (Roman Catholic). Cor. Central and 2nd streets; Right Rev. Bishop Fitzgerald; Rev. Patrick Riley. Services 7 and 10 a. m. and 7 p. m.",,
Little Rock,1872,14205478,14,BETHEL A. M. E. CHURCH,Churches,,"BETHEL A. M. E. CHURCH. - Rev. J. T. Jenifer, Pastor. Services 10 a. m. and 3 and 7 p. m.",,
Little Rock,1872,14205478,15,M. E. CHURCH,Churches,,"M. E. CHURCH. -Rev. W. H. H. Brown, Pastor. Services 10 a. m. and 8 p. m.",,
Little Rock,1872,14205478,16,BAPTIST CHURCH,Churches,,"BAPTIST CHURCH. Rev. Reuben White, Pastor. Services 10 a. m. and 8 p. m.",,
Little Rock,1872,14205478,17,A. M. E. CHURCH,Churches,,"A. M. E. CHURCH.-John Payton, Pastor. Second Street, between Cumberland and Rock.",,
Little Rock,1872,14205479,2,Fire Department,Uncategorized,,Fire Department.,,
Little Rock,1872,14205479,4,Pat Cleburne Steam Fire Engine Co.,Civic Organizations,,"Officers and Members of the Pat Cleburne Steam Fire Engine Co., No. 2.-G. A. Counts, Foreman; D. C. Adams, Assistant Foreman; Jno. Brodie, Foreman Hose; G. H. Shutte, Assistant Foreman Hose; D. G. Fones, Treasurer; M. L. Kumpe, Secretary. Total number of members, 44.",,
