city,year,page,line_no,organization_name,category,sub_category,line,address,description
Fresno,1898,3221399,1,INDEPENDENT ORDER OF FORESTERS,Benevolent and Fraternal,,INDEPENDENT ORDER OF FORESTERS,,
Fresno,1898,3221399,2,COURT FRESNO NO. 763,Benevolent and Fraternal,,COURT FRESNO NO. 763,,
Fresno,1898,3221399,6,FORESTERS OF AMERICA,Benevolent and Fraternal,,FORESTERS OF AMERICA,,
Fresno,1898,3221399,7,COURT HERMANN NO. 26,Benevolent and Fraternal,,COURT HERMANN NO. 26,,
Fresno,1898,3221399,10,"COURT YOSEMITE, NO. 72",Benevolent and Fraternal,,"COURT YOSEMITE, NO. 72",,
Fresno,1898,3221399,14,DANISH BROTHERHOOD,Benevolent and Fraternal,,DANISH BROTHERHOOD,,
Fresno,1898,3221399,15,FRESNO LODGE NO. 67,Benevolent and Fraternal,,FRESNO LODGE NO. 67,,
Fresno,1898,3221399,19,DANIA LODGE NO. 5,Benevolent and Fraternal,,DANIA LODGE NO. 5,,
Fresno,1898,3221399,23,IMPROVED ORDER OF RED MEN,Benevolent and Fraternal,,IMPROVED ORDER OF RED MEN,,
Fresno,1898,3221399,24,"TIHIPITI TRIBE, NO. 90",Benevolent and Fraternal,,"TIHIPITI TRIBE, NO. 90",,
Fresno,1898,3221399,28,HOME FORUM BENEFIT ORDER,Benevolent and Fraternal,,HOME FORUM BENEFIT ORDER,,
Fresno,1898,3221399,29,"FRESNO LODGE, NO. 1504",Benevolent and Fraternal,,"FRESNO LODGE, NO. 1504",,
Fresno,1898,3221399,33,WOODMEN OF THE WORLD,Benevolent and Fraternal,,WOODMEN OF THE WORLD,,
Fresno,1898,3221399,34,"MANZANITA CAMP, NO. 160",Benevolent and Fraternal,,"MANZANITA CAMP, NO. 160",,
Fresno,1898,3221399,1,"SONS OF HERMANN FRESNO LODGE, NO. 18",Benevolent and Fraternal,,"SONS OF HERMANN FRESNO LODGE, NO. 18 August Rohlfing, President Henry Johansen, Sec'y. Meets every Friday at K. P. Hall",,
Fresno,1898,3221399,2,YOUNG MEN'S INSTITUTE,Youth Organizations,,"YOUNG MEN'S INSTITUTE Thomas E. Collins, President Jas. Gallagher, Sec'y. Meets second and fourth Thursdays in the month at K. P. Hall",,
Fresno,1898,3221399,3,"FRATERNAL AID ASSOCIATION FRESNO COUNCIL, NO. 231",Benevolent and Fraternal,,"FRATERNAL AID ASSOCIATION FRESNO COUNCIL, NO. 231 Mrs. Cordelia Albin, Pres. R. W. Rice, Sec'y. Meets every second Wednesday in the month at Edgerly Hall",,
Fresno,1898,3221399,4,"ROYAL ARCANUM FRESNO COUNCIL, NO. 1516",Benevolent and Fraternal,,"ROYAL ARCANUM FRESNO COUNCIL, NO. 1516 T. G. Hart, Regent Jarvis Streeter, Secretary. Meets every first and third Tuesday in the month at Edgerly Hall",,
Fresno,1898,3221399,5,NATIVE SONS OF THE GOLDEN WEST,Patriotic Organizations,,"NATIVE SONS OF THE GOLDEN WEST G. C. Freman, President Wick W. Parsons, Sec'y.",,
Fresno,1898,3221399,6,"AMERICAN LEGION OF HONOR POMONO COUNCIL, NO. 622",Benevolent and Fraternal,,"AMERICAN LEGION OF HONOR POMONO COUNCIL, NO. 622 C. H. Adair, Commander S. A. Alexander, Secretary",,
Fresno,1898,3221399,7,"1. O. G. T. NEAL DOW LODGE, NO. 20",Benevolent and Fraternal,,"1. O. G. T. NEAL DOW LODGE, NO. 20 A. C. Banta, C. T. H. C. Shelton, Sec'y.",,
Fresno,1898,3221399,8,G. A. R. ATLANTA POST,Veterans Organizations,,"G. A. R. ATLANTA POST O. A. Vorce, P. C. Meets every first and second Thursday at Edgerly Hall",,
Fresno,1900,3177213,1,Missouri Oil Company,Uncategorized,,"Missouri Oil Company. 160,000......Fresno",,
Fresno,1900,3177213,2,Morning Star Oil Company,Uncategorized,,"Morning Star Oil Company. 50,000...... Selma",,
Fresno,1900,3177213,3,Mt. Goddard Oil Company,Uncategorized,,"Mt. Goddard Oil Company. 200,000......Fresno",,
Fresno,1900,3177213,4,Mutual Oil Company of Selma,Uncategorized,,"Mutual Oil Company of Selma. 250,000...... Selma",,
Fresno,1900,3177213,5,National Oil and Dev. Company,Uncategorized,,"National Oil and Dev. Company. 75,000...... Sacramento",,
Fresno,1900,3177213,6,New York Oil Company,Uncategorized,,"New York Oil Company. 100,000...... Fresno",,
Fresno,1900,3177213,7,Northfield Oil Company,Uncategorized,,Northfield Oil Company. 200.000... Fresno,,
Fresno,1900,3177213,8,Occident Oil Company,Uncategorized,,"Occident Oil Company. 32,000...... Fresno",,
