city,year,page,line_no,organization_name,category,sub_category,line,address,description
Davenport,1861,,1,Methodist Episcopal Church,Churches,,Methodist Episcopal Church.,,
Davenport,1861,,2,M. E. Church,Churches,,"The society of the M. E. Church, in this place, was organized in the year 1846. The church was built in the year 1848--enlarged or re-built 1858-- present dimensions 58 feet long by 26 feet wide, of a good proportion in height. The society at present consists in a membership of about one hundred. Service every Sabbath, as follows, viz: Preaching at 10½ A. M., and at 7½ P. M.; Class meeting at 12 M.; Sun- day School at 1½ P. M. Meetings during page the week as follows, viz: Class meet- ing on Tuesday evening, Prayer meeting on Thursday evening, meeting of the Choir on Saturday evening. Number in Sunday School about one hundred and twenty.",,
Davenport,1861,,4,First Baptist Church,Churches,,First Baptist Church,,
Davenport,1861,,5,Baptist Church of Moline,Churches,,"The first Baptist Church of Moline was organized June 5th, 1852--eighteen persons uniting in the organization. Their first pastor was Rev. A. G. Eber- hart, who commenced his labors August",,
Davenport,1861,,6,State Association,Churches,,"ionary of State Association, and",,
Davenport,1861,,31,YOUNG MEN'S ASSOCIATION,Youth Organizations,,YOUNG MEN'S ASSOCIATION.,,
Davenport,1861,,32,Association,Youth Organizations,,This Association was founded,,
Davenport,1861,,36,Debating Society,Youth Organizations,,Debating Society and the sustaining,,
Davenport,1861,,1,the Associa- tion,Libraries,,"tures. There is now connected with it a literary paper called the ""OLIO,"" made up from original contributions by the ladies of Moline, and which is read at each alternate meeting of the Associa- tion, forming a prominent and interest- ing feature of its exercises. The Li- brary now numbers about 250 volumes, and to the increasing of which all the surplus funds of the society are applied. The Association has about sixty acting members, and is in a flourishing condi- tion. It meets every Monday evening, at Chamberlin's Hall, from the 1st of October until the 1st of March, and the first Monday evening of each month dur- ing the remainder of the year. All meetings public.",,
Davenport,1861,,5,Odd Fellows' Hall,Benevolent and Fraternal,,"Doric Lodge, No. 319. Organ- ized June, 1859, with eleven charter members. Meet Wednesday evenings on or before full moon, at Odd Fellows' Hall. Officers -L. E. Hemenway, W. M.; H. G. Nourse, S. W.; B. R. Towndrow, J. W.; D. C. Marshall, Treas.; James Chapman, Sec'y; R. H. Graham, S. D.; M. S. Barnes, J. D.; A. Gould, G. W. Vinton, Stewards; H. Norton, Tyler.",,
Davenport,1861,,6,Odd Fellows' Hall,Benevolent and Fraternal,,"Moline Lodge, No. 133. Insti- tuted January 4th, 1854; five charter members; present twenty-four members. Meet every Tuesday evening at Odd Fellows' Hall, Chamberlain's block. Officers--Jesse Shields, N. G.; H. R. Coffey, V. G.; J. E. Webb, R. S.; C. Hitchcock, P. S.; H. H. Pershing,",,
Davenport,1861,,8,Odd Fellows' Hall,Benevolent and Fraternal,,"Hope Lodge, No. 423. Meet every Tuesday evening, at Odd Fellows' Hall.",,
Davenport,1861,,1,Abbey,Uncategorized,,"Abbey Geo H, miller, hns Anne e Lynde.",,
Davenport,1861,,2,Abbott,Uncategorized,,"Abbott H S, daguerrean, ss Wells bet Mill and Lynde, hes Bass s Illinois.",,
Davenport,1861,,4,Altz,Uncategorized,,"Altz Jacob, barber, s s Wells w Lynde.",,
Davenport,1861,,5,Ambaugh,Uncategorized,,"Ambaugh John, s wcor Mill and Park.",,
Davenport,1861,,6,Anderson,Uncategorized,,"Anderson Andro, blksmth, hus Henry e Bass.",,
Davenport,1861,,7,Anderson,Uncategorized,,"Anderson Chas, carp, hns Park w Lynde.",,
Davenport,1861,,8,Anderson,Uncategorized,,"Anderson Chas, sawyer, hns Henry w Spencer.",,
Davenport,1861,,9,Anderson,Uncategorized,,"Anderson Henry, hs wcor Henry and Bell.",,
Davenport,1861,,10,Anderson,Uncategorized,,"Anderson Isaac, carp, hss Illinois e M111.",,
Davenport,1861,,11,Anderson,Uncategorized,,"Anderson, John, lab, hns Illinoise Bell.",,
Davenport,1861,,12,Anderson,Uncategorized,,"Anderson Nelson, plow maker, h on bluff s Park.",,
Davenport,1861,,13,Anthony,Uncategorized,,"Anthony JO, painter, hns Illinois w Spring.",,
Davenport,1861,,14,Atkinson,Uncategorized,,"Atkinson Charles, real estate dealer, h s s Water bet Atkinson and Bass.",,
