city,year,page,line_no,organization_name,category,sub_category,line,address,description
Kansas City,1874,40,1,KANSAS CITY & WESTPORT HORSE RAILROAD COMPANY.,Uncategorized,,"KANSAS CITY & WESTPORT HORSE RAILROAD COMPANY.-Meade Woodson, President; C. J. White, Secretary; H. Swindler, Treasurer; H. Holmes, Superintendent. Office and Stable, Westport road, south of O K Creek.",,
Kansas City,1874,40,2,JACKSON COUNTY AND BROADWAY HORSE RAIL- ROAD COMPANY.,Uncategorized,,"JACKSON COUNTY AND BROADWAY HORSE RAIL- ROAD COMPANY. Comprises the following lines: Main street, Union Depot and Wyandotte; Broadway and Independence avenue. E. R. Threlkeld, President; Meade Woodson, Secretary; H. Swindler, Treasurer; Byron E. Dye, Superintendent. Office and Stables, northeast corner Walnut and Fourth.",,
Kansas City,1874,40,3,UNION DEPOT HORSE RAILROAD CO.,Uncategorized,,"UNION DEPOT HORSE RAILROAD CO.-Dr. D. Dick- erson, President; D. Ellison, Secretary; F. A. Williams, Super- intendent. Stables, Main, opp. Tenth.",,
Kansas City,1874,40,4,WESTERN UNION TELEGRAPH COMPANY.,Uncategorized,,"WESTERN UNION TELEGRAPH COMPANY.-Т. Р. Cook, Assistant Superintendent; M. D. Wood, Manager. North side Fourth, between Main and Delaware.",,
Kansas City,1874,40,5,GREAT WESTERN TELEGRAPH COMPANY.,Uncategorized,,"GREAT WESTERN TELEGRAPH COMPANY.-D. A. Williams, Manager. South side Fourth, between Main and Delaware.",,
Kansas City,1874,40,6,KANSAS CITY METROPOLITAN TELEGRAPH COM- PANY.,Uncategorized,,"KANSAS CITY METROPOLITAN TELEGRAPH COM- PANY.-D. A. Williams, Mansger. Offices, 107 West, Fifth, Spalding's Commercial College, Stock Yards, Bigger's Packing House, and Pacific Hotel.",,
Kansas City,1874,40,7,COMMERCIAL NATIONAL BANK.,Uncategorized,,"COMMERCIAL NATIONAL BANK.-M. Woodson, Cash- ier. 14 West Fifth.",,
Kansas City,1874,40,1,FIRST NATIONAL BANK,Uncategorized,,"FIRST NATIONAL BANK.-Howard M. Holden, President; Edward H. Allen, Vice President; John D. Bancroft, Cashier; M. W. St. Clair, Assistant Cashier. 'Delaware, northwest corner Fifth.",,
Kansas City,1874,40,2,KANSAS CITY NATIONAL BANK,Uncategorized,,"KANSAS CITY NATIONAL BANK.-Hon. John B. Wornall, President; W. A. Smith, Cashier. 521 Main.",,
Kansas City,1874,40,3,KANSAS CITY SAVINGS ASSOCIATION,Uncategorized,,"KANSAS CITY SAVINGS ASSOCIATION.-C. J. White, Cashier. Delaware, southwest corner Fourth.",,
Kansas City,1874,40,4,"LONG, GRANT & CO",Uncategorized,,"LONG, GRANT & CO.-South side Fifth, between Main and Delaware.",,
Kansas City,1874,40,5,MASTIN BANK,Uncategorized,,"MASTIN BANK.-S. E. Ward, President; John J. Mastin, Cashier; Thomas H. Mastin, Assistant Cashier; M. R. Platt, Secretary. Main, northeast corner Fourth.",,
Kansas City,1874,40,6,MISSOURI VALLEY BANK,Uncategorized,,"MISSOURI VALLEY BANK.-E. H. Brooks, President; E. A. Phillips, Vice President; A. J. Baker, Cashier. Union avenue, near Santa Fe, West Kansas.",,
Kansas City,1874,40,7,"SMART, DAVID O. & CO",Uncategorized,,"SMART, DAVID O. & CO.-Vaughan's Diamond Building.",,
Kansas City,1874,40,8,THE WATKINS BANK,Uncategorized,,"THE WATKINS BANK.-W. M. Couch, President; B. A. Fieneman, Vice President; J. Q. Watkins, Cashier; D. Street, Assistant Cashier. Main, southwest corner Second.",,
Kansas City,1874,40,9,FIRST BAPTIST CHURCH,Churches,,"FIRST BAPTIST CHURCH.-May, northeast cor. Eighth.",,
Kansas City,1874,40,10,BAPTIST CHURCH,Churches,,"BAPTIST CHURCH. Rev. C. N. H. Moore, Pastor. Joy, southeast corner Hickory, West Kansas.",,
Kansas City,1874,40,11,AFRICAN MISSION BAPTIST CHURCH,Churches,,"AFRICAN MISSION BAPTIST CHURCH. Rev. Henry Roberson, Pastor. Charlotte, southwest corner Tenth.",,
Kansas City,1874,40,12,CHURCH OF THEIMMACULATE CONCEPTION,Churches,,"CHURCH OF THEIMMACULATE CONCEPTION.-Rev. Eather Bernard Donnelly, Pastor. Broadway, between Eleventh and Twelfth.",,
Kansas City,1874,40,13,ST. PATRICK'S CHURCH,Churches,,"ST. PATRICK'S CHURCH. Rev. Father Dunn, Pastor;",,
Kansas City,1874,42,2,ST. PETER AND ST. PAUL'S CHURCH,Churches,,"ST. PETER AND ST. PAUL'S CHURCH.-Rev. Father Ernest Zechenter, Pastor. McGee, southwest corner Ninth.",,
Kansas City,1874,42,3,THE CHURCH OF THE ANNUNCIATION,Churches,,"THE CHURCH OF THE ANNUNCIATION.-Rev. Father W. J. Dalton, Pastor. Fourteenth, southwest corner Wyoming, West Kansas. [",,
Kansas City,1874,42,4,CHRISTIAN CHURCH,Churches,,"CHRISTIAN CHURCH.-Main, northwest corner Twelfth.",,
Kansas City,1874,42,5,GRAND AVENUE CONGREGATIONAL CHURCH,Churches,,"GRAND AVENUE CONGREGATIONAL CHURCH.- Rev. J. G. Roberts, Pastor. Grand avenue, southwest corner Tenth.",,
Kansas City,1874,42,6,GRACE EPISCOPAL CHURCH,Churches,,GRACE EPISCOPAL CHURCH.-Rev. A. Batte. Rector. Coates' Opera House Building.,,
Kansas City,1874,42,7,ST. LUKE'S EPISCOPAL CHURCH,Churches,,"ST. LUKE'S EPISCOPAL CHURCH.-Rev. George C. Betts. Eighth, southeast corner Walnut.",,
Kansas City,1874,42,8,GERMAN EVANGELICAL ST. PETER'S CHURCH,Churches,,"GERMAN EVANGELICAL ST. PETER'S CHURCH.- Rev. J. C. Feil, Pastor. East side Walnut, between Tenth and Eleventh.",,
Kansas City,1874,42,9,B'NAI JEHUDAH,Churches,,B'NAI JEHUDAH. Rev. E. L. Hess. Over 613 Main.,,
Kansas City,1874,42,10,ENGLISH LUTHERAN CHURCH,Churches,,"ENGLISH LUTHERAN CHURCH.-West side Delaware, between Tenth and Eleventh.",,
Kansas City,1874,42,11,SWEDISH LUTHERAN CHURCH,Churches,,"SWEDISH LUTHERAN CHURCH. Rev. S. J. Osterberg, Pastor. North side Fifteenth, between Broadway and Wash- ington.",,
