city,year,page,line_no,organization_name,category,sub_category,line,address,description
Olathe,1908,6,1,"PREWITT'S OLATHE, KANSAS, CITY DIRECTORY",Uncategorized,,"PREWITT'S OLATHE, KANSAS, CITY DIRECTORY.",,
Olathe,1908,6,2,County Health Officer,Uncategorized,,County Health Officer-Dr. H. H. Johnson.,,
Olathe,1908,6,3,County Physician,Uncategorized,,County Physician-Dr. R. L. Moberly.,,
Olathe,1908,6,4,County Coroner,Uncategorized,,County Coroner-Dr. H. E. Williamson.,,
Olathe,1908,6,5,Janitor Court House,Uncategorized,,Janitor Court House-John Jenkins (c).,,
Olathe,1908,6,23,Police Judge,Civic Organizations,,Police Judge-Jiles Milhoan.,,
Olathe,1908,6,24,City Marshal,Civic Organizations,,City Marshal-John McAllister.,,
Olathe,1908,6,25,Chief Fire Department,Civic Organizations,,Chief Fire Department-Harry Iles.,,
Olathe,1908,6,51,Police Headquarters,Uncategorized,,Police Headquarters-2d floor Swofford bldg.,,
Olathe,1908,6,52,Police Judge,Uncategorized,,Police Judge J. H. Milhoan.,,
Olathe,1908,6,53,City Marshal,Uncategorized,,City Marshal-John McAllister.,,
Olathe,1908,6,2,POSTOFFICE DEPARTMENT,Uncategorized,,POSTOFFICE DEPARTMENT.,,
Olathe,1908,6,21,BOARD OF EDUCATION,Uncategorized,,BOARD OF EDUCATION.,,
Olathe,1908,6,27,PUBLIC SCHOOLS,Uncategorized,,PUBLIC SCHOOLS.,,
Olathe,1908,6,44,Kansas School for the Deaf,Uncategorized,,Kansas School for the Deaf-East Park streel.,,
Olathe,1908,6,49,First Baptist Church,Churches,,"First Baptist Church-Loula sw cor Water. Rev. H. G. Fraser, pastor.",,
Olathe,1908,6,50,German Baptist Church,Churches,,"German Baptist Church (Dunkards)-Elm sw cor Pine. Rev. H. F. Crist, paster.",,
Olathe,1908,6,51,Second Baptist Church,Churches,,"Second Baptist Church (c) Kas av sw cor 3pruce. Rev. H. W. Scott, (c), pastor.",,
Olathe,1908,6,53,First Christian Church,Churches,,"First Christian Church-Loula ne cor Chestnut. Rev. J. S. Clements, pastor.",,
Olathe,1908,6,55,First Congregational Church,Churches,,"First Congregational Church-119 Chestnut. Rev. W. M. Elledge, pastor.",,
Olathe,1908,6,57,Emanuel Episcopal Church,Churches,,"Emanuel Episcopal Church-219 s Chestnut. Rev. G. V. Gwilym, rector.",,
Olathe,1908,6,59,Methocist Episcopal Church,Churches,,"Methocist Episcopal Church-Cherry ne cor Loula. Rev. O. M. Bowman, pastor,",,
Olathe,1908,6,60,Weslyan Methodist Church,Churches,,"Weslyan Methodist Church-235 s Chestnut. Rev. S. G. Huston, pastor.",,
Olathe,1908,6,61,Africar M. E. Church,Churches,,"Africar M. E. Church-Santa Fe ne cor Walrut. Rev. W. H. H. Jones, (c), paster.",,
Olathe,1908,6,63,First Fresbyterian Church,Churches,,"First Fresbyterian Church-Loula se cor Kas av. Rev. N. A. Shedd, pastor.",,
Olathe,1908,6,64,Reformed Presbyterian Church,Churches,,Reformed Presbyterian Church-500 e Loula.,,
Olathe,1908,6,65,United Presbyterian Church,Churches,,"United Presbyterian Church-Loula se cor Water. Rev. J. A. Greer, pastor.",,
Olathe,1908,6,67,St. Paul's Catholic Church,Churches,,"St. Paul's Catholic Church-Chestnut sw cor Santa Fe. Rev. Hugh J. Herron, paster.",,
Olathe,1908,8,21,Olathe Lodge No. 19,Secret Societies,,"Olathe Lodge No. 19. Meets 2d Thursday of each month in their hall. T. A. Sutton, W. M.; J. D. Dent, Sec.; H. E. Hayes, Treas.",,
Olathe,1908,8,23,Olathe Chapter No. 10,Secret Societies,,"Olathe Chapter No. 10. Meets 1st Friday of each month in Masonic Hall. Chas. Rheem, H. P.; T. W. Noland, Sec.; H. E. Hayes, Treas.",,
Olathe,1908,8,25,Olathe Commandery No. 39,Secret Societies,,"Olathe Commandery No. 39.-Meets 4th Friday In each month in Masonic Hall. H. C. Livermore, Em. Com.; T. W. Noland, Sec.; H. E. Hayes, Treas.",,
Olathe,1908,8,27,Anchor Chapter No. 3,Secret Societies,,"Anchor Chapter No. 3.-Meets 1st and 3d Tuesdays in Masonic Hall, Margaret Stevenson, W. M.; H. C. Livermore, W. P.; Mrs. C. A. Stevenson, Sec.; H. E. Hayes, Treas.",,
Olathe,1908,8,29,Cedar Bean Lodge No. 23,Secret Societies,,"Cedar Bean Lodge No. 23. Meets 1st and 3d Monday evenings of each month on East Park. W. R. Rollins, W. M.; Geo. Young, Sec.; John Jenkins, Treas.",,
Olathe,1908,8,31,Marion Chapter No.,Secret Societies,,"Marion Chapter No.-Meets 3d Thursday of each month. Wm. L. Delmont, W. P.; Mrs. Susie Rollins, W. M.",,
Olathe,1908,8,35,Olathe Lodge No. 245,Secret Societies,,"Olathe Lodge No. 245. Meets 1st and 3d Wednesdays of each month. Dr. R. L. Moberly, M. W.; E. C. Owen, Recorder; Roscoe Smith, Financier; W. D. Hendrix, Receiver.",,
Olathe,1908,8,37,Olathe Homestead No. 1644,Youth Organizations,,"Olathe Homestead No. 1644-Meets last Wednesday evening of each month in Grange Hall. A. G. Hackney, Foreman; D. O. Shuey, Clerk.",,
Olathe,1908,8,39,Olathe League No. 89,Benevolent and Fraternal,,"Olathe League No. 89.-Meets 4th Saturday of each month at Court House. I. C. Dent, Pres.; Wm. Mahaffie, Sec.",,
Olathe,1908,8,41,Olathe District Court No. 938,Civic Organizations,,"Olathe District Court No. 938. Meets 2d and 4th Tuesdays of each month. J. W. Thomas, Chancellor; B. H. Tillotson, Recorder.",,
Olathe,1908,8,43,Olathe Aerie No. 700,Patriotic Organizations,,"Olathe Aerie No. 700: -Meets every Monday evening at their hall, nw cor Public Square. W. D. Hendrix, W. P.; J. H. Fraser, Sec.; W. C. Keefer, Treas",,
Olathe,1908,8,45,Olathe Council No. 730,Patriotic Organizations,,"Olathe Council No. 730. Meets on call. Geo. E. Griffitts, Pres.; Mrs. Ruby Middlecoff, Sec.",,
