city,year,page,line_no,organization_name,category,sub_category,line,address,description
Topeka,1868,134,2,SISTER OF CHARITY SCHOOL,Uncategorized,,"SISTER OF CHARITY SCHOOL. Situated on the West side of Jackson St., between 7th St. and 8th Avenue. Sister Agnes, Superior.",,
Topeka,1868,134,4,BOARD OF EDUCATION,Uncategorized,,"BOARD OF EDUCATION. The Board of Education is composed of two persons from each Ward, one of which is elected each year, for the term of tavo years. 1st Ward.-H. W. Farnsworth, John Ellinwood. 2nd Ward.-David Brockway, D. H. Johnson. 3d Ward.-John Guthrie, L. C. Wilmarth. Superintendent.-L. C. Wilmarth.",,
Topeka,1868,134,5,GRAMMER SCHOOL,Uncategorized,,"GRAMMER SCHOOL. Situated on the East side of Harrison St., between Sixth Avenue and Seventh St. TEACHERS-W. H. Butterfield, principal; Mrs. E. Steele 1st assistant; Miss Lizzie Gilbert, Intermediate Department; Miss Mary E. Ekin, Secondary Department; Miss A, J. Drink- water, Primary Department.",,
Topeka,1868,134,6,PRIMARY DEPARTMENT,Uncategorized,,"PRIMARY DEPARTMENT. Situated on the East of Kansas Avenue, between Fourth and Fifth Sts. Miss S. S. Stoddard, Secondary Department; Miss Mary Ferry, Primary Department.",,
Topeka,1868,134,7,NORTH TOPEKA SCHOOL,Uncategorized,,"NORTH TOPEKA SCHOOL. Situated on the West side of Kansas Avenue, North of Gordon Street. J. A. Smith, Teacher.",,
Topeka,1868,134,4,FIRST BAPTIST CHURCH,Churches,,"FIRST BAPTIST CHURCH. This Church was organized, March 1st, 1857, in the house of J. C. Miller, and consisted of only six members. The Rev. J. G. Gilpatrick, acting under the patronage of the Baptist Home Mission Board, officiated as their pastor. Since that time the church has had four other Spiritual Shepherds, and enjoys at the present time the pastorial labors of the Rev. Isaac Sawyer, D. D. The church numbers at the present, eighty-five members. They have a promising Sabbath School connected with the church, numbering sixty scholars, they also have a library of about three hundred volumes. At the present writing they worship in the Baptist Hall, on Kansas avenue, but indulge in the fond hope of completing their church edifice during the coming summer, the foundation of which is already laid on the North East corner of Jackson and 9th streets.",,
Topeka,1868,134,5,GRACE CHURCH,Churches,,"GRACE CHURCH, (Episcopal.) The Mission to Topeka, was begun by Rev. Charles Calloway, early in 1857. The parish was organized with about twelve communicants in 1860. Rev. N. O. Preston, had charge of the church for three years previous to 1864, during which time the church edifice was built, and so far completed as to be open for divine service. Since June, 1865, the parish has been in the charge of Rev J. N. Lee as Rector. The church—a neat stone building—accommodating about three hundred worshipers, has been finished except the tower, and neatly fenced and surrounded with maples.",,
Topeka,1868,136,3,M. E. CHURCH,Churches,,M. E. CHURCH.,,
Topeka,1868,136,1,TOPEKA CITY DIRECTORY,Uncategorized,,TOPEKA CITY DIRECTORY.,,
Topeka,1868,136,13,FIRST CONGREGATIONAL CHURCH,Churches,,FIRST CONGREGATIONAL CHURCH.,,
Topeka,1868,138,1,TOPEKA CITY DIRECTORY,Uncategorized,,TOPEKA CITY DIRECTORY.,,
Topeka,1868,138,6,FIRST PRESBYTERIAN CHAPEL,Churches,,FIRST PRESBYTERIAN CHAPEL.,,
Topeka,1868,138,9,LUTHERN CHURCH,Churches,,LUTHERN CHURCH..,,
Topeka,1868,138,2,CATHOLIC CHURCH,Uncategorized,,"CATHOLIC CHURCH. North West corner Jackson street and 8th avenue. Father De Fouri, pastor.",,
Topeka,1868,138,4,SECOND CONGREGATIONAL CHURCH,Churches,,"SECOND CONGREGATIONAL CHURCH, (Colored). East side Kansas avenue, between 7th street and 8th avenue. L. H. Platt, pastor. This church edifice is a frame building, and will accommodate about Two hundred persons. Divine services are held at 10 1-2 A. M. and 7 1-2 P. M., of each Sabbath. Sabbath School, 2 1-2 o'clock P. М.",,
Topeka,1868,138,5,MASONIC. GRAND LODGE OF KANSAS,Secret Societies,,"MASONIC. GRAND LODGE OF KANSAS. Meets Third Tuesday of October, 1868. M. W., M. S. Adams, of Leavenworth, Grand Master. B. W., E. A. Smith, Ft. Scott, Deputy Grand Master. B. W., E. T. Carr, Leavenworth, Grand Secretary. R. W., O. A. Bassett, Lawrence, Grand Lecturer.",,
Topeka,1868,138,6,"TOPEKA ROYAL ARCH CHAPTER, NO. 5",Secret Societies,,"TOPEKA ROYAL ARCH CHAPTER, NO. 5. Meets in Odd Fellow's Hall, on First and Third Mondays of each month. M. H. Caso, Secretary. T. J. Anderson, M. E. H. P.",,
Topeka,1868,138,7,"TOPEKA LODGE, NO. 17",Secret Societies,,"TOPEKA LODGE, NO. 17. Meets at Masonic Hall, 161 Kansas avenue, Wednesday on or before the full moon, and two weeks thereafter. S. T. Walkley, W. M. G. G. Gage, S. W. F. W. Giles, J. W.",,
Topeka,1868,140,1,ORIENT LODGE,Secret Societies,,"ORIENT LODGE, NO. 51. Meets at Masonic Hall, 161 Kanasa avenue, First and Third Fridays of each month. John Guthrie, W. M. C. W. Campion, S. W. T. J. Dent, J. W",,
Topeka,1868,140,3,INDEPENDENT ORDER of ODD FELLOWS,Secret Societies,,"INDEPENDENT ORDER of ODD FELLOWS. GRAND ENCAMPMENT OF KANSAS. Meets at Atchison, Kansas, on the second Thursday in October. R. A. Randlett, M. W. G. Pat.; S. F. Burdett, R. W. G. Scribe",,
Topeka,1868,140,4,GRAND LODGE OF KANSAS,Secret Societies,,"GRAND LODGE OF KANSAS. Meets at Atchison, Kansas, second Tuesday in October. H. O. Shales, R. W. G. M.; S. F. Burdett, R. W. G. Sec",,
Topeka,1868,140,5,SHAWNEE ENCAMPMENT,Secret Societies,,"SHAWNEE ENCAMPMENT, NO. 3. Meets on 1st and 3d Friday evenings of each Month, at Odd Fellow's Hall, South-east corner of Kansas and Sixth Avenues, (Ritchie Block). Samuel Hall, C. H.; F. L. Crane, P.H.; L. Newell, S. W. J. A. James, J. W.; C. O. Smith, Scribe; Wm. Farran, Treas",,
Topeka,1868,140,2,SHAWNEE LODGE,Benevolent and Fraternal,,"SHAWNEE LODGE, NO. 1. Meets every Tuesday evening, at Odd Fellow's Hall, Ritchie Block. J. D. Knox, N. G.; J. A. Polley, V. G.; G. C. Foss, Sec.; C. O. Smith, Treas.",,
