city,year,page,line_no,organization_name,category,sub_category,line,address,description
Shreveport,1902,12,1,Weather Bureau,Uncategorized,,Weather Bureau.,,
Shreveport,1902,12,2,Weather Bureau,Uncategorized,,"United States Department of Agriculture and Weather Bureau-Fourth floor postoffice building. W. T. Mitchell, observer.",,
Shreveport,1902,12,3,Board of Health,Welfare Organizations,,Board of Health.,,
Shreveport,1902,12,4,Board of Health,Welfare Organizations,,"Board of Health-Dr. J. C. Egan, chairman; Dr. L. H. Fisher, Dr. J. J. Scott, M. Kaufman, R. Furman. Geo. L. Woodward, milk inspector, Cooper building; Dr. W. L. Edau, chemist, Cooper building; Wm. Wimbish, assistant secretary and health officer, Cooper building; Edwin McKallor, secretary and chief sanitary officer, Cooper building. Office of Shreveport Board of Health, Dr. J. C. Egan, chairman and Health Officer, Cooper building, room 21.",,
Shreveport,1902,12,6,Shreveport National Bank,Uncategorized,,"Shreveport National Bank-Commenced business July 16, 1901; capital, $100,000; undivided profits, $6,500; deposits, $510,000; directors, G. W. Signor, W. E. Glassell, P. B. Cash, J. C. Pugh, F. T. Whited, T. P. Smith, J. W. Holbert, Leon I. Kahn; A. T. Kahn, president; John S. Young, vice-president; J. J. Jordan, cashier; B. D. Ilgenfritz, assistant cashier.",,
Shreveport,1902,12,7,First National Bank of Shreveport,Uncategorized,,"First National Bank of Shreveport, La.-United States depository; fiscal agents of the City of Shreveport and Caddo Parish; capital, $200,000; surplus and undivided profits, $112,145.59; W. B. Jacobs, president; W. F. Dillon, W. T. Crawford, vice-presidents; W. J. Bayersdorffer, cashier; directors, A. Querbes, president A. Querbes Co., Ltd.; James S. Noel, Jno. P. Scott, Wm. Winter, S. G.",,
Shreveport,1902,12,1,CITIZENS' NATIONAL BANK,Uncategorized,,"CITIZENS' NATIONAL BANK-Capital, $100,000; S. B. McCutchen, prest; Jno. M. Tucker, vice-prest; M. A. McCutchen, cashier; directors, S. B. McCutchen, Dr. T. G. Ford, F. W. Bowers, Jno. M. Tucker, F. D. Lee, M. A. McCutchen, Sam Hunter, John McW. Ford, J. M. Ledbetter.",,
Shreveport,1902,12,2,THE MERCHANTS' AND FARMERS' BANK,Uncategorized,,"THE MERCHANTS' AND FARMERS' BANK-Leon M. Carter, prest; Peter J. Trezevant, vice-prest; C. S. Bauman, cashier; R. L. Mayfield, asst cashier; directors, Leon M. Carter, Albert H. Leonard, Peter J. Trezevant, J. B. Ardis, W. A. Pleasants; deposits, $1,250,000.",,
Shreveport,1902,12,3,THE COMMERCIAL NATIONAL BANK,Uncategorized,,"THE COMMERCIAL NATIONAL BANK-P. Youree, prest; H. H. Youree, vice-prest; A. H. Van Hook, asst cashier; E. S. Woodfin, H. H. Youree, O. H. P. Sample, H. F. Doll, Andrew Querbes, J. Dellinger, P. Youree, W. F. Taylor, E. R. Bernstein, directors; capital stock, $100,000; surplus and undivided profits, $223,000; deposits, $1,800,000.",,
Shreveport,1902,14,2,SYCAMORE SCHOOL,Uncategorized,,"SYCAMORE SCHOOL, 1817 Seymour avenue-Miss Ella Beard, prin.",,
Shreveport,1902,14,3,WEST SHREVEPORT SCHOOL,Uncategorized,,"WEST SHREVEPORT SCHOOL, First street-Miss Lizzie Barksdale, teacher.",,
Shreveport,1902,14,4,TEXARKANA ANNEX SCHOOL,Uncategorized,,"TEXARKANA ANNEX SCHOOL-C. C. Whisenhurst, prin; Miss Ella Beard, Miss Etta Perroncel.",,
Shreveport,1902,14,5,EDWARDS STREET SCHOOL,Uncategorized,,"EDWARDS STREET SCHOOL-Miss J. Wolff, prin; teachers, Miss Lee Harris, Miss Sallie Bell, Miss Anne Ector, Miss Jessie Spearing, Miss Caroline Woodley.",,
Shreveport,1902,14,6,ANTOINESCHOOL,Uncategorized,,"ANTOINESCHOOL (c), 504-506 Caddo street-T. H. Kane, prin; E. Harrington, asst.",,
Shreveport,1902,14,7,PEABODY NORMAL,Uncategorized,,"PEABODY NORMAL (c), cor Hope and Peabody-A. W. Stewart, prin; teachers, Miss Sallie Cole, Miss Blanche Sterritt.",,
Shreveport,1902,14,8,PETERS SCHOOL,Uncategorized,,"PETERS SCHOOL (c), cor Franklin and Marshall-F. S. McKeel, prin; Grace Williams, asst.",,
Shreveport,1902,14,10,"WILLIAMS & HOOKER, GIRLS' SEMINARY",Uncategorized,,"WILLIAMS & HOOKER, GIRLS' SEMINARY, 422 Crockhamel BROS.' Transfer Line. Room 10, Simon Building. Office Phone 386. ett-Miss Fannie H. Williams and Miss Bessie M. Hooker, props.",,
Shreveport,1902,14,11,DRAUGHON'S PRACTICAL BUSINESS COLLEGE,Uncategorized,,"DRAUGHON'S PRACTICAL BUSINESS COLLEGE, Simon Bldg, third floor-J. F. Draughon, propr; P. E. Townsley, prin.",,
Shreveport,1902,14,12,NELSON SEMINARY,Uncategorized,,"NELSON SEMINARY, 624 Grand avenue-Miss Sallie E. Nelson, prin.",,
Shreveport,1902,14,13,MRS. F. B. JONES' SCHOOL,Uncategorized,,"MRS. F. B. JONES' SCHOOL, 930 Commerce.",,
Shreveport,1902,14,14,MISS MARY CRAIGE SCHOOL,Uncategorized,,"MISS MARY CRAIGE SCHOOL, 429 Milam.",,
Shreveport,1902,14,15,MISS A. AUSTIN SCHOOL,Uncategorized,,"MISS A. AUSTIN SCHOOL, 609 Gary street.",,
Shreveport,1902,14,16,ST. MICHAEL'S SCHOOL,Uncategorized,,"ST. MICHAEL'S SCHOOL, cor Park and Laurel-Sisters of the Cross in charge; Eulalie, superior; day school for boys and girls.",,
Shreveport,1902,14,17,ST. MARY'S CONVENT,Uncategorized,,"ST. MARY'S CONVENT, 310 Edwards street-Daughters of the Cross in charge; day school for young ladies and children.",,
Shreveport,1902,14,18,ACADEMY OF ST. VINCENT,Uncategorized,,"ACADEMY OF ST. VINCENT, Fairfield rd, beyond limits-Daughters of the Cross in charge.",,
Shreveport,1902,14,22,FIRST BAPTIST,Churches,,"FIRST BAPTIST, 604 Texas-Rev. W. S. Penick, D. D., pastor.",,
Shreveport,1902,14,2,PARK VIEW BAPTIST,Churches,,"PARK VIEW BAPTIST, cor Maple and Pierre avenues- Rev. G. W. Smith, pastor; Sunday services (preaching), II a. m. and 8 p. m.; Sunday-school, 9:30 a. m.; prayer meetings, Thursdays, 8 p. m.",,
Shreveport,1902,14,3,ROMAN CATHOLIC CHURCH OF THE HOLY TRIN- ITY,Churches,,"ROMAN CATHOLIC CHURCH OF THE HOLY TRIN- ITY, cor Marshall and Fannin-Rev. S. B. Scharh, pastor. Sunday services (summer)-Mass, 7 and 9:30 a. m.; ves- pers, 7:30 p. m.; (winter)-Mass, 7 and 10 a. m.; vespers, 5 p. m.; Sunday-school, 4 p. m.; week-day mass (summer), 6:30 a. m.; (winter), 7 a. m.",,
Shreveport,1902,14,4,CENTRAL CHRISTIAN,Churches,,"CENTRAL CHRISTIAN, cor Lawrence and Hicks streets- Rev. Claude L. Jones, pastor. Sunday services: Preach- ing, II a. m. and 7:30 p. m.; Sunday-school, 9:30 a. m.; prayer-meetings, Wednesday, 7:30 p. m.",,
Shreveport,1902,14,5,ST. MARK'S EPISCOPAL,Churches,,"ST. MARK'S EPISCOPAL, 300 Fannin street-Rev. J. H. Spearing, rector. Sunday services, II a. m. and 7:30 p. m.; Sunday-school, 9:30 a. m.",,
Shreveport,1902,14,7,FIRST M. E. CHURCH SOUTH,Churches,,"FIRST M. E. CHURCH SOUTH, 501-503 Common street, head of Texas-Rev. W. T. Bolling, D. D., pastor; Sunday services (preaching), II a. m. and 7:30 p. m.; Sunday- school, 9:30 a. m.; prayer-meetings, Wednesday, 7:30 p. m.",,
Shreveport,1902,14,8,TEXAS AVENUE M. E.,Churches,,"TEXAS AVENUE M. E., 1632 Texas avenue-Rev. R. J. Harp, pastor; Sunday services (preaching), 11 a. m. and 7:30 p. m.; Sunday-school, 9:30 a. m.; prayer-meeting, Fridays, 7:30 p. m.",,
Shreveport,1902,14,9,FIRST PRESBYTERIAN,Churches,,"FIRST PRESBYTERIAN, cor Edwards and Travis-Rev. Edward Mack, D. D., pastor; Sunday preaching, II a. m.",,
Shreveport,1902,16,1,DUNLAP MEMORIAL,Churches,,"DUNLAP MEMORIAL, Jordan street-Rev. W. B. Currie, pastor; Sunday services, 11 a. m. and 8 p. m.; prayer-meeting, Wednesday, 7:30 p. m.; Sunday-school, 10 a. m.",,
Shreveport,1902,16,2,ANTIOCH BAPTIST,Churches,,"ANTIOCH BAPTIST, 1004 Snow street-Rev. J. B. Green, paster.",,
Shreveport,1902,16,3,GALLILEE BAPTIST CHURCH,Churches,,"GALLILEE BAPTIST CHURCH, 524 Hope street-Rev. R. Taylor, pastor.",,
Shreveport,1902,16,4,EVERGREEN BAPTIST,Churches,,"EVERGREEN BAPTIST, cor Christian and Snow-Rev. T. A. Carter, pastor.",,
