city,year,page,line_no,organization_name,category,sub_category,line,address,description
Worcester,1927,10393589,1,Church of Our Saviour,Churches,,"Church of Our Saviour, 63 Laurel Street; founded 1890; Rector, Atig Dzotsikian",,
Worcester,1927,10393589,2,First Baptist Church,Churches,,"First Baptist Church, 661 Main St., corner Ionic Avenue; founded 1812; Minister, William R. McNutt; Director Religious Education, L. Earl Jackson.",,
Worcester,1927,10393589,3,Pleasant Street Baptist Church,Churches,,"Pleasant Street Baptist Church, 2 Ashland Street; founded 1841; Pastor, Clifton H. Mix, 1925; S. S. Supt., Ralph R. Kendall.",,
Worcester,1927,10393589,4,Dewey Street Baptist Church,Churches,,"Dewey Street Baptist Church, 305 Park Avenue; founded 1872; Pastor, Buell W. Maxfield; S. S. Supt., Lester N. Moore.",,
Worcester,1927,10393589,5,French Baptist Missionary Church,Churches,,"French Baptist Missionary Church, 170 Beacon St.; founded 1873; org. 1890; Pastor, Isaac LaFleur; S. S. Supt., ——.",,
Worcester,1927,10393589,6,First Swedish Baptist Church,Churches,,"First Swedish Baptist Church, Belmont Street, corner Fountain; founded 1880; Pastor, Alfred E. Lindberg; S. S. Supt., Gustav J. Johnson.",,
Worcester,1927,10393589,7,Lincoln Square Baptist Church,Churches,,"Lincoln Square Baptist Church, 5 Highland St.; founded 1881; Pastor, Floyd H. Adams, S. S. Supt., Frank H. Sawyer.",,
Worcester,1927,10393589,8,Newton Square Baptist Church,Churches,,"Newton Square Baptist Church, Elmwood Street, corner Pleasant; founded 1881; Pastor, Phanuel B. Covell; S. S. Supt., Guy S. Williams.",,
Worcester,1927,10393589,9,John Street Baptist Church,Churches,,"John Street Baptist Church, 43 John Street; founded 1885; Pastor, W. Marvin Gibson, 1923; S. S. Supt., Miss Harriet V. Gray.",,
Worcester,1927,10393589,10,South Baptist Church,Churches,,"South Baptist Church, Main Street cor. Gates; founded 1886; Pastor, Charles J. Burton, 1919; S. S. Supt., Mrs. H. T. Andrews.",,
Worcester,1927,10393589,11,Adams Square Baptist Church,Churches,,"Adams Square Baptist Church, Lincoln Street cor. Gilman; founded 1889; Pastor, Joseph Walther; Paster Emeritus, Daniel W. Hoyt; S. S. Supt., Frederick H. Abbott.",,
