city,year,page,line_no,organization_name,category,sub_category,line,address,description
Lansing,1873,41199,1,CENTRAL MICHIGAN AGRICULTURAL SOCIETY,Civic Organizations,,CENTRAL MICHIGAN AGRICULTURAL SOCIETY.,,
Lansing,1873,41199,6,INGHAM COUNTY AGRICULTURAL SOCIETY,Civic Organizations,,INGHAM COUNTY AGRICULTURAL SOCIETY.,,
Lansing,1873,41199,8,YOUNG MEN'S SOCIETY OF LANSING,Youth Organizations,,YOUNG MEN'S SOCIETY OF LANSING.,,
Lansing,1873,41199,2,THE LANSING BIBLE SOCIETY,Uncategorized,,THE LANSING BIBLE SOCIETY.,,
Lansing,1873,41199,4,SUNDAY SCHOOL INSTITUTE,Uncategorized,,SUNDAY SCHOOL INSTITUTE.,,
Lansing,1873,41199,6,LANSING LIBRARY AND LITERARY ASSOCIATION,Libraries,,LANSING LIBRARY AND LITERARY ASSOCIATION.,,
Lansing,1873,41199,8,NORTH LANSING LITERARY ASSOCIATION,Libraries,,NORTH LANSING LITERARY ASSOCIATION.,,
Lansing,1873,41199,1,LANSING LIEDERKRANZ SOCIETY,Clubs,,"LANSING LIEDERKRANZ SOCIETY,",,
Lansing,1873,41199,3,LANSING SILVER CORNET BAND,Clubs,,"A newly organized band has recently been formed at North Lansing under the uphonious name of ""LANSING SILVER CORNET BAND,"" consisting of twelve pieces, under the leader- ship of George W. Christopher, who puts the members under frequent practice.",,
Lansing,1873,41199,4,REFORM SCHOOL BAND,Youth Organizations,,"Another band, said to be made up of very good musicians, and who have been called out on frequent occasions, is com- posed of members belonging to the Reform School, known as the ""REFORM SCHOOL BAND.""",,
Lansing,1873,41199,5,GRAND RIVER BOAT CLUB,Clubs,,GRAND RIVER BOAT CLUB.,,
Lansing,1873,41199,7,First Baptist Church,Churches,,"First Baptist Church is located on the corner of Capitol avenue and Ionia street. Rev. David Crosby, Pastor.",,
Lansing,1873,41199,1,Free Babtist Church,Churches,,"Free Babtist Church is located on Kalamazoo, between Capitol and Washington avenues. Rev. A. J. Davis, Pastor; residence No. 5, Capitol avenue.",,
Lansing,1873,41199,2,First Methodist Episcopal Church,Churches,,"First Methodist Episcopal Church is located on the corner of Cedar and Franklin streets, Rev. F. B. Bangs, Pastor.",,
Lansing,1873,41199,3,First Presbyterian Church,Churches,,"First Presbyterian Church, corner of Washington avenue and Genesee street. Rev. John M. Allis, Pastor.",,
Lansing,1873,41199,4,First Congregational Church,Churches,,"First Congregational Church, east side of Townsend, corner of Allegan. Rev. M. W. Fairfield, Pastor.",,
Lansing,1873,41199,5,Central Methodist Church,Churches,,"Central Methodist Church, corner Washington avenue and Ottawa street. Rev. J. W. Robinson, Pastor; residence corner Capitol avenue and Ottawa street.",,
Lansing,1873,41199,6,German Methodist Church,Churches,,"German Methodist Church, corner of Lapeer and Seymour streets.",,
Lansing,1873,41199,7,The Methodist Church of St. Joseph,Churches,,"The Methodist Church of St. Joseph (“Cedar Branch”), between Grand street and Washington avenue. Rev. Joseph Cromack, Pastor.",,
Lansing,1873,41199,8,Lutheran Church,Churches,,"Lutheran Church, corner Kilbourne and Seymour streets; Rev. Mr. Conrad leaving the city, the church is without a pastor.",,
Lansing,1873,41199,9,German Evangelical Lutheran Church,Churches,,"German Evangelical Lutheran Church, corner of Chesnut and Saginaw streets; Rev. John M. M. Moll, Pastor.",,
Lansing,1873,41199,10,Protestant Episcopal Church,Churches,,"Protestant Episcopal Church, corner of Ottawa and Seymour streets; Rev. Joseph Wood, Rector, boards at the Lansing House; services are held at rooms over T. S. Holmes' drug store, Washington avenue.",,
Lansing,1873,41199,12,Second Presbyterian Church,Churches,,"Second Presbyterian Church, corner of Franklin and Washington avenues; Rev. Alfred Bryant, Pastor.",,
Lansing,1873,41199,13,Universalist Church,Churches,,"Universalist Church, corner of Allegan and Grand streets; Rev. T. N. Glover, Pastor.",,
Lansing,1873,41199,14,Roman Catholic Church,Churches,,"Roman Catholic Church, corner of Chesnut and Madison streets; Rev. Father Lewis Van Driss, Pastor.",,
Lansing,1873,41199,15,Methodist (colored) Church,Churches,,"Methodist (colored) Church, corner of Ottawa and Pine streets.",,
Lansing,1873,41199,8,INGHAM COUNTY MEDICAL SOCIETY,Uncategorized,,INGHAM COUNTY MEDICAL SOCIETY.,,
