city,year,page,line_no,organization_name,category,sub_category,line,address,description
Kansas City,1880,10658856,2,"MISSOURI, KANSAS & TEXAS RAILWAY",Uncategorized,,"MISSOURI, KANSAS & TEXAS RAILWAY.—Freight Depot at Fort Scott Railroad Depot, West Kansas.",,
Kansas City,1880,10658856,3,MISSOURI PACIFIC RAILWAY CO.,Uncategorized,,"MISSOURI PACIFIC RAILWAY CO.—Ticket Office, 530 Main street; E. S. Jewett, Ticket Agent; Passenger and Freight Depot, foot of Grand avenue, and Union Depot, West Kansas.",,
Kansas City,1880,10658856,4,"WABASH, ST. LOUIS & PACIFIC RAILWAY CO.",Uncategorized,,"WABASH, ST. LOUIS & PACIFIC RAILWAY CO.—M. G. Carey, Superintendent Western Division; George Marsh, Freight Agent; Ticket Office, 530 Main; Freight and Passenger Depot, West Kansas.",,
Kansas City,1880,10658856,5,"ATCHISON, TOPEKA & SANTA FE RAILROAD",Uncategorized,,"ATCHISON, TOPEKA & SANTA FE RAILROAD.—T. J. Anderson, General Agent, Union Depot; H. J. Smith, Local Freight Agent; Freight and Passenger Depots, West Kansas.",,
Kansas City,1880,10658856,6,"CHICAGO, ROCK ISLAND & PACIFIC RAILROAD",Uncategorized,,"CHICAGO, ROCK ISLAND & PACIFIC RAILROAD.—Ticket Office 605 Main; Freight and Passenger Depots, West Kansas.",,
Kansas City,1880,10658856,7,WESTPORT AND KANSAS CITY HORSE RAILROAD COMPANY,Uncategorized,,"WESTPORT AND KANSAS CITY HORSE RAILROAD COMPANY.—Hezekiah Holmes, Treasurer; Meade Woodson, Trustee. Office and Stables, Westport road, south O. K. Creek.",,
Kansas City,1880,10658856,8,JACKSON COUNTY HORSE RAILROAD,Uncategorized,,"JACKSON COUNTY HORSE RAILROAD.—Patrick Corrigan, President; John Burke, Secretary; Bernard Corrigan, Treasurer. Office, Fourth, northeast corner Wyandott.",,
Kansas City,1880,10658856,9,THE CORRIGAN HORSE RAILROAD COMPANY,Uncategorized,,"THE CORRIGAN HORSE RAILROAD COMPANY.—Bernard Corrigan, President; Daniel Carroll, Superintendent. Stables, Seventeenth, corner Madison avenue.",,
Kansas City,1880,10658856,10,KANSAS CITY HORSE RAILROAD COMPANY,Uncategorized,,"KANSAS CITY HORSE RAILROAD COMPANY.—Dr. D. E. Dickerson, President; John Burke, Secretary. Office, Fourth, northeast corner Wyandotte.",,
Kansas City,1880,10658856,11,WESTERN UNION TELEGRAPH CO.,Uncategorized,,"WESTERN UNION TELEGRAPH CO.—M. D. Wood, Assistant Superintendent and Manager, 12 West Fifth street.",,
Kansas City,1880,10658856,12,ATLANTIC AND PACIFIC TELEGRAPH CO.,Labor Organizations,,"ATLANTIC AND PACIFIC TELEGRAPH CO.—L. D. Stanley, Manager, 425 Delaware.",,
Kansas City,1880,10658856,13,AMERICAN UNION TELEGRAPH CO.,Labor Organizations,,"AMERICAN UNION TELEGRAPH CO.—G. M. Myers, Manager, 505 Delaware.",,
Kansas City,1880,10658856,1,THE BELL TELEPHONE COMPANY,Uncategorized,,"THE BELL TELEPHONE COMPANY.—Kansas City Division, W. C. Stewart, Superintendent, 503 Delaware street.",,
Kansas City,1880,10658856,2,ARMOUR BROTHERS' BANKING CO.,Uncategorized,,"ARMOUR BROTHERS' BANKING CO.—A. W. Armour, President; S. B. Armour, Vice-President; W. H. Winants, Cashier. Merchants Exchange Building, Delaware, southwest corner Fifth.",,
Kansas City,1880,10658856,3,BANK OF KANSAS CITY,Uncategorized,,"BANK OF KANSAS CITY.—J. S. Chick, President; L. R. Moore, Vice-President; Bernard Donnelly, Secretary; I. M. Smith, Cashier; W. J. Anderson, Assistant Cashier. Delaware, southeast corner Fifth.",,
Kansas City,1880,10658856,4,KANSAS CITY SAVINGS ASSOCIATION,Uncategorized,,"KANSAS CITY SAVINGS ASSOCIATION.—A. H. Powell, President; L. F. Wilson, Vice-President; C. J. White, Cashier; J. E. Powell, Assistant Cashier. Delaware, southwest corner Fourth.",,
Kansas City,1880,10658856,5,MISSOURI VALLEY BANK,Uncategorized,,"MISSOURI VALLEY BANK.—Robt. J. Alther, Cashier. Fifth, northwest corner Delaware.",,
Kansas City,1880,10658856,6,MERCHANT'S NATIONAL BANK,Uncategorized,,"MERCHANT'S NATIONAL BANK.—F. L. Underwood, President; J. M. Coburn, Cashier. Missouri Avenue, northeast corner Delaware.",,
Kansas City,1880,10658856,7,FIRST BAPTIST CHURCH,Churches,,"FIRST BAPTIST CHURCH.—Rev. C. Monjeau, Pastor. Twelfth, southwest corner Delaware.",,
Kansas City,1880,10658856,8,CALVARY BAPTIST CHURCH,Churches,,"CALVARY BAPTIST CHURCH.—Rev. J. E. Chambliss, Pastor. Northeast corner Grand avenue and Eleventh.",,
Kansas City,1880,10658856,9,AFRICAN MISSION BAPTIST CHURCH,Churches,,"AFRICAN MISSION BAPTIST CHURCH.—Rev. Henry Roberson, Pastor. Charlotte, southwest corner Tenth.",,
Kansas City,1880,10658856,10,PLEASANT GREEN BAPTIST CHURCH,Churches,,"PLEASANT GREEN BAPTIST CHURCH, (Colored).—W. S. Wood, Pastor. South of Wyandotte Bridge, Kansas City, Kansas.",,
Kansas City,1880,10658857,1,CHRISTIAN CHURCH,Churches,,"CHRISTIAN CHURCH.-Rev. J. Z. Taylor, Pastor. Main, northwest corner Twelfth.",,
Kansas City,1880,10658857,2,SECOND CHRISTIAN CHURCH,Churches,,"SECOND CHRISTIAN CHURCH.-Delaware, near Eleventh.",,
Kansas City,1880,10658857,3,FIRST CONGREGATIONAL CHURCH,Churches,,"FIRST CONGREGATIONAL CHURCH.-Rev. Henry Hopkins, Pastor. Grand.avenue, southwest corner Tenth.",,
Kansas City,1880,10658857,4,UNION MISSION CHURCH,Churches,,"UNION MISSION CHURCH.-A. Burr, Pastor. East side Holmes, between Second and Third.",,
Kansas City,1880,10658857,5,GRACE CHURCH,Churches,,"GRACE CHURCH.-Rev. Barr, Rector. Tenth, southeast corner Central.",,
Kansas City,1880,10658857,6,ST. MARY'S CATHOLIC CHURCH,Churches,,"ST. MARY'S CATHOLIC CHURCH.-Rev. H. D. Jardine, Rector. Eighth, southeast corner Walnut.",,
Kansas City,1880,10658857,7,HOLY TRINITY CHURCH,Churches,,"HOLY TRINITY CHURCH.-Rev. F. R. Holman, Rector. South side Fourteenth, between Oak and Locust.",,
Kansas City,1880,10658857,8,ST. MARY'S CHURCH,Churches,,"ST. MARY'S CHURCH.-Rev. F. R. Holman, Rector. Locust, southeast corner Missouri avenue.",,
Kansas City,1880,10658857,9,"ST. MARY'S CATHOLIC CHURCH, No. 2",Churches,,"ST. MARY'S CATHOLIC CHURCH, No. 2.-Rev. H. D. Jardine, Rector; Rev. Sturges Allen, Assistant. 410 E. Fourth.",,
Kansas City,1880,10658857,10,GERMAN EVANGELICAL ST. PETER'S CHURCH,Churches,,"GERMAN EVANGELICAL ST. PETER'S CHURCH.- Rev. John C. Feil, Pastor. East side of Walnut, between Tenth and Eleventh.",,
Kansas City,1880,10658857,11,"ZION'S CHURCH OF THE EVANGELICAL ASSOCIA- TION, OF NORTH AMERICA",Churches,,"ZION'S CHURCH OF THE EVANGELICAL ASSOCIA- TION, OF NORTH AMERICA.-Rev. Henry Mattill, Pastor. 1418 Oak.",,
Kansas City,1880,10658857,12,B'NAI JEHUDAH,Churches,,"B'NAI JEHUDAH.-Rev. E. Eppstein, Rabbi; Joseph Cahn, President; C. Dobriner, Secretary. Sixth, southeast corner Wyandotte.",,
Kansas City,1880,10658857,13,FIRST ENGLISH LUTHERAN CHURCH,Churches,,"FIRST ENGLISH LUTHERAN CHURCH.-Rev. S. S. Waltz, Pastor. West side Delaware, between Tenth and Eleventh.",,
Kansas City,1880,10658857,14,SWEDISH LUTHERAN CHURCH,Churches,,"SWEDISH LUTHERAN CHURCH.-Rev. P. Alson, Pastor. North side Fifteenth, between Broadway and Washington.",,
Kansas City,1880,10658857,1,AFRICAN METHODIST CHURCH,Churches,,"AFRICAN METHODIST CHURCH.—Rev. B. F. Watson, Pastor. Charlotte, southeast corner Tenth.",,
Kansas City,1880,10658857,2,AFRICAN METHODIST CHURCH,Churches,,"AFRICAN METHODIST CHURCH. Rev. M. Wooten, Pastor. East side State Line, between St. Louis avenue and Ninth, West Kansas.",,
Kansas City,1880,10658857,3,GRAND AVENUE METHODIST EPISCOPAL CHURCH,Churches,,"GRAND AVENUE METHODIST EPISCOPAL CHURCH. -Rev. H. G. Jackson, Pastor. Grand avenue, southeast corner Ninth.",,
Kansas City,1880,10658857,4,METHODIST EPISCOPAL CHURCH (SOUTH),Churches,,"METHODIST EPISCOPAL CHURCH (SOUTH). -Rev. C. C. Wood, Pastor. East side Walnut, between Eighth and Ninth.",,
Kansas City,1880,10658857,5,SIXTEENTH ST. METHODIST EPISCOPAL CHURCH,Churches,,"SIXTEENTH ST. METHODIST EPISCOPAL CHURCH. Rev. O. B. Jones, Pastor. Cherry, northeast corner Sixteenth.",,
Kansas City,1880,10658857,6,LIBERTY ST. METHODIST EPISCOPAL CHURCH,Churches,,"LIBERTY ST. METHODIST EPISCOPAL CHURCH. - Rev. T. H. Hagerty, Pastor. Thirteenth, southeast corner Liberty, West Kansas.",,
Kansas City,1880,10658857,7,WASHINGTON STREET TABERNACLE,Churches,,"WASHINGTON STREET TABERNACLE. -John R. Eades, Pastor. West side Washington, between Thirteenth and Fourteenth.",,
Kansas City,1880,10658857,8,CENTRAL PRESBYTERIAN CHURCH (SOUTH),Churches,,"CENTRAL PRESBYTERIAN CHURCH (SOUTH).-Rev. A. D. Madeira, Pastor. Grand avenue, southeast corner Eighth.",,
Kansas City,1880,10658857,9,FIRST CUMBERLAND PRESBYTERIAN CHURCH,Churches,,"FIRST CUMBERLAND PRESBYTERIAN CHURCH.- Rev. Baxter P. Fullerton, Pastor. South side Fourteenth, between Oak and Locust.",,
Kansas City,1880,10658857,10,FIRST PRESBYTERIAN CHURCH,Churches,,"FIRST PRESBYTERIAN CHURCH. -Rev. Samuel Book- staver Bell, Pastor. Grand avenue, between Tenth and Eleventh.",,
Kansas City,1880,10658857,11,SECOND PRESBYTERIAN CHURCH,Churches,,"SECOND PRESBYTERIAN CHURCH. -Rev. Charles C. Kimball, Pastor. East side Wyandotte, between Eighth and Ninth.",,
Kansas City,1880,10658857,12,THIRD PRESBYTERIAN CHURCH,Churches,,"THIRD PRESBYTERIAN CHURCH. -Kev. L. Railsback, Pastor. Thirteenth, northwest corner Hickory, West Kansas.",,
Kansas City,1880,10658857,13,UNITED PRESBYTERIAN CHURCH,Churches,,"UNITED PRESBYTERIAN CHURCH. Rev. D. M. Mc- Clellan, Pastor. East side Walnut, between Ninth and Tenth.",,
Kansas City,1880,10658857,14,CHURCH OF THE IMMACULATE CONCEPTION,Churches,,"CHURCH OF THE IMMACULATE CONCEPTION. - Rev. D. J. Doherty, Pastor; Father Francis Curran, Assistant Pastor. Broadway, between Eleventh and Twelfth.",,
Kansas City,1880,10658857,15,ST. PATRICK'S CHURCH,Churches,,"ST. PATRICK'S CHURCH. Rev. Father Dunn, Pastor;",,
Kansas City,1880,10658858,2,ST. PETER AND ST. PAUL'S CHURCH,Churches,,"ST. PETER AND ST. PAUL'S CHURCH. -Rev. Father Ernest Zechenter, Pastor. McGee, southwest corner Ninth.",,
