city,year,page,line_no,organization_name,category,sub_category,line,address,description
Kansas,1895,10608482,40,Adams School,Uncategorized,,"Adams School, Mercier, ne cor 24th, Gertrude E. Greene, prin.",,
Kansas,1895,10608482,41,Benton School,Uncategorized,,"Benton School, 14th, ne cor Liberty, J. C. Davis, prin.",,
Kansas,1895,10608482,42,Bryant School,Uncategorized,,"Bryant School, Vine, se cor Howard, Elizabeth Buchanan, prin.",,
Kansas,1895,10608482,43,Central School,Uncategorized,,"Central School (High), 11th, se cor Locust, J. T. Buchanan, prin.",,
Kansas,1895,10608482,44,Chace School,Uncategorized,,"Chace School, 14th, and Grove, W. H. Williams, prin.",,
Kansas,1895,10608482,45,Douglass School,Uncategorized,,"Douglass School, (colored), 27th, ne cor W. Pros- pect pl. R.W. Foster prin.",,
Kansas,1895,10608482,46,"East 18th, Street School",Uncategorized,,"East 18th, Street School, (colored), 2028 e 18th, T. W. H. Williams, prin.",,
Kansas,1895,10608482,47,Emerson School,Uncategorized,,"Emerson School, 561 Tracy, Sallie Threlkeld, prin.",,
Kansas,1895,10608482,48,Franklin School,Uncategorized,,"Franklin School, 14th, ne cor Washington, J. M. Shelton, prin.",,
Kansas,1895,10608482,49,Garfield School,Uncategorized,,"Garfield School, Wabash, ne cor Amie, C. W. Thompson, prin.",,
Kansas,1895,10608482,50,Garrison School,Uncategorized,,"Garrison School, (colored), 400 Forest, R. T. Coles, prin.",,
Kansas,1895,10608482,51,Hamilton School,Uncategorized,,"Hamilton School, 1516 Campbell, Elma J. Webster pria.",,
Kansas,1895,10608482,52,Humboldt School,Uncategorized,,"Humboldt School, 12th nw cor Locust, G. B. Lon- gan, prin.",,
Kansas,1895,10608482,53,Irving School,Uncategorized,,"Irving School, Prospect sw cor 28d R. G. Kin- kead, prin.",,
Kansas,1895,10608482,54,Jefferson School,Uncategorized,,"Jefferson School, Garfield avenue, se cor 17th, Irene E. Gilbert, prin.",,
Kansas,1895,10608482,55,Karnes School,Uncategorized,,"Karnes School, 820 Troost, W. W. Woodward, pria.",,
